project_id,percentile50,percentile70,percentile90,percentile93,percentile94,percentile95,percentile96,percentile98,percentile99
HZ0TYOAttLoUuj9,0.025,0.033,0.0512,0.073,0.079839999999999883,0.089399999999999966,0.10355999999999992,0.17803999999999995,0.25245999999999968
o9Q0YC+kg3gzRqv,0.829,1.8129999999999991,21.1951,21.26557,23.806899999999985,26.638749999999987,29.47059999999999,31.06156,31.08128
6QQsGa7qfK6YccE,0.939,2.0801999999999996,4.1864,4.7168400000000021,5.0240799999999988,5.3082,5.8786799999999957,53.210359999999952,573.56104
9PCJpWoD/HiqOop,26.491,61.915,163.74300000000002,202.46,231.48759999999982,284.78099999999989,304.14759999999995,388.40419999999995,448.13309999999996
tz1jQ3/4NUYdiPg,42.7885,328.24799999999971,1890.6,2128.237050000002,2235.6033999999991,2364.5879999999993,2547.2691999999988,3078.3209999999995,3617.6634999999997
MTYtLMtcWzmxBTb,5.8525,11.387999999999996,27.471500000000006,37.055030000000016,42.377699999999962,58.696649999999991,84.724199999999485,144.77656,211.43993999999995
5cympJZ1AMA9n5K,5.1975,20.0302,507.6609000000015,1789.0043300000007,1909.16016,1960.3641999999995,2049.6485199999997,2286.3489,3018.2639699999991
FPyx2lGDMGO7m/t,0.0265,3.9010999999999991,10.8164,11.945510000000004,12.834579999999995,13.723649999999996,14.612719999999998,16.39086,17.27993
MAWvNbduksW4ZCy,0.112,1.3932999999999998,3.8513,4.737,5.23058,6.3821499999999887,7.4388399999999963,24.532459999999926,33.67556
uPxEHBIGypdT7J2,15.686,153.28419999999986,1866.0911000000003,2020.662880000001,2073.5731,2151.9278999999997,2265.53516,2722.8066599999984,3470.2422199999965
++ZNlu3ZjYXB6V1,0.026,0.087,0.1215,0.12465000000000001,0.1263,0.12825,0.1302,0.1341,0.13605
N+rl85G+AkQrc7e,292.776,340.1196,640.0382,642.86564,643.80812,644.7506,645.69308,647.57804,648.52051999999992
Hj6NDQNIOgrCOla,0.049,0.44819999999999993,4.7424000000000017,8.67736000000001,10.911879999999988,13.146399999999989,15.380919999999993,19.849959999999996,22.084479999999996
DHDktMtyntahSEM,4.443,5.6994,7.3642000000000012,8.3745400000000014,8.7113199999999988,9.0730999999999984,9.45488,10.21844,10.600219999999998
0MGQsPeqvBVpavz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rAJt2Gy1m0FGVsA,0.80899999999999994,2.8836,8.9671000000000021,12.858340000000004,13.928099999999993,14.6312,17.296319999999998,27.641039999999968,40.385479999999994
obSFHXNkUMIYpVs,0.0,0.0,0.0,0.077470000000000067,0.21035999999999719,0.8727999999999998,1.2122399999999971,19.100039999999975,38.41511
cD0WquMH7mrI+nR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
